Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
,23,Female,Few times a month,['Beauty and Personal Care'],yes,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,yes,Occasionally,yes,2,yes,1,1,Competitive prices,Reducing packaging waste
,23,Female,Once a month,['Clothing and Fashion'],yes,Few times a month,Keyword,Multiple pages,1,yes,Often,High shipping costs,Rarely,no,Heavily,yes,2,sometimes,3,2,Wide product selection,Reducing packaging waste
,24,Prefer not to say,Few times a month,"['Groceries and Gourmet Food', 'Clothing and Fashion']",no,Few times a month,Keyword,Multiple pages,2,yes,Sometimes,Found a better price elsewhere,Rarely,no,Occasionally,no,4,no,3,3,Competitive prices,Product quality and accuracy
,24,Female,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",sometimes,Few times a month,Keyword,First page,5,maybe,Sometimes,Found a better price elsewhere,Sometimes,yes,Heavily,yes,3,sometimes,3,4,Competitive prices,Product quality and accuracy
,22,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a month,Filter,Multiple pages,1,yes,Sometimes,High shipping costs,Rarely,no,Heavily,yes,4,yes,2,2,Competitive prices,Product quality and accuracy
,21,Female,Less than once a month,['Clothing and Fashion'],no,Rarely,categories,Multiple pages,1,yes,Rarely,Changed my mind or no longer need the item,Never,no,Heavily,yes,5,no,5,2,Wide product selection,Product quality and accuracy
,22,Female,Less than once a month,['Clothing and Fashion'],no,Rarely,Filter,Multiple pages,1,yes,Often,High shipping costs,Rarely,no,Heavily,yes,3,sometimes,3,3,Wide product selection,Shipping speed and reliability
,21,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Rarely,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Rarely,no,Heavily,sometimes,3,sometimes,1,3,Competitive prices,Shipping speed and reliability
,20,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",sometimes,Few times a month,Keyword,First page,1,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Moderately,yes,2,yes,2,2,Wide product selection,Reducing packaging waste
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Rarely,Keyword,Multiple pages,1,yes,Rarely,Found a better price elsewhere,Rarely,no,Heavily,yes,3,yes,3,4,Wide product selection,Product quality and accuracy
,22,Female,Less than once a month,['Clothing and Fashion'],no,Few times a month,categories,Multiple pages,1,maybe,Sometimes,Found a better price elsewhere,Sometimes,no,Heavily,yes,3,sometimes,3,2,Competitive prices,Shipping speed and reliability
,25,Female,Multiple times a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,High shipping costs,Sometimes,yes,Heavily,yes,3,yes,3,1,Wide product selection,Product quality and accuracy
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,Keyword,First page,1,maybe,Sometimes,Changed my mind or no longer need the item,Rarely,no,Heavily,sometimes,2,no,3,2,Competitive prices,Product quality and accuracy
,24,Female,Once a month,"['Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Often,yes,Moderately,yes,2,yes,2,2,Wide product selection,Product quality and accuracy
,21,Female,Less than once a month,['Beauty and Personal Care'],yes,Few times a week,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Always,yes,Heavily,yes,5,sometimes,3,1,User-friendly website/app interface,Reducing packaging waste
,23,Female,Less than once a month,['others'],no,Rarely,Filter,First page,1,maybe,Sometimes,High shipping costs,Sometimes,no,Heavily,yes,3,sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability
,16,Male,Few times a month,"['Clothing and Fashion', 'others']",sometimes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Never,no,Heavily,yes,3,sometimes,3,2,Wide product selection,Shipping speed and reliability
,21,Female,Less than once a month,['Clothing and Fashion'],no,Few times a month,Keyword,Multiple pages,1,maybe,Sometimes,others,Never,no,Heavily,yes,2,yes,2,1,Wide product selection,Shipping speed and reliability
,23,Female,Few times a month,"['Beauty and Personal Care', 'Home and Kitchen']",sometimes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,High shipping costs,Rarely,no,Moderately,yes,2,sometimes,3,2,Wide product selection,Customer service responsiveness
,25,Female,Less than once a month,['Beauty and Personal Care'],no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Rarely,no,Heavily,yes,4,sometimes,3,2,Wide product selection,Product quality and accuracy
,64,Male,Once a week,['Groceries and Gourmet Food'],no,Few times a month,Keyword,Multiple pages,3,no,Often,Changed my mind or no longer need the item,Never,no,Occasionally,yes,2,yes,1,2,Competitive prices,Reducing packaging waste
,23,Female,Once a month,['Clothing and Fashion'],no,Few times a month,others,First page,1,yes,Sometimes,Found a better price elsewhere,Sometimes,no,Heavily,yes,3,sometimes,3,2,User-friendly website/app interface,Customer service responsiveness
,21,Male,Less than once a month,['others'],no,Few times a week,others,Multiple pages,1,yes,Never,others,Never,no,Never,sometimes,3,sometimes,3,3,.,.
,16,Female,Less than once a month,['Clothing and Fashion'],no,Few times a month,categories,Multiple pages,2,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Moderately,yes,3,yes,2,2,Wide product selection,Shipping speed and reliability
,23,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",no,Few times a month,Keyword,Multiple pages,1,maybe,Rarely,others,Rarely,yes,Heavily,yes,3,sometimes,1,1,Competitive prices,Customer service responsiveness
,24,Female,Multiple times a week,['Groceries and Gourmet Food'],yes,Few times a week,categories,Multiple pages,1,maybe,Rarely,Changed my mind or no longer need the item,Sometimes,yes,Moderately,no,2,no,2,3,User-friendly website/app interface,Product quality and accuracy
,22,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Often,no,Heavily,yes,3,sometimes,2,2,Wide product selection,Shipping speed and reliability
,23,Female,Less than once a month,['Beauty and Personal Care'],no,Few times a month,categories,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Rarely,no,Occasionally,sometimes,3,yes,3,5,Wide product selection,Reducing packaging waste
,23,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']",sometimes,Few times a week,categories,Multiple pages,1,yes,Often,others,Often,no,Heavily,yes,3,sometimes,2,2,User-friendly website/app interface,Shipping speed and reliability
,24,Female,Less than once a month,['Clothing and Fashion'],yes,Few times a month,Keyword,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Rarely,no,Occasionally,yes,4,yes,5,4,Competitive prices,Reducing packaging waste
,25,Female,Few times a month,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']",no,Few times a week,Keyword,Multiple pages,5,yes,Often,High shipping costs,Never,yes,Heavily,yes,2,sometimes,3,4,Wide product selection,Product quality and accuracy
,23,Female,Less than once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,Keyword,First page,5,maybe,Often,Changed my mind or no longer need the item,Always,no,Heavily,yes,4,no,3,4,Competitive prices,Customer service responsiveness
,23,Female,Less than once a month,['others'],no,Rarely,others,First page,3,no,Never,others,Never,no,Occasionally,sometimes,5,no,3,3,Wide product selection,Product quality and accuracy
,23,Female,Less than once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Always,yes,Heavily,yes,1,yes,2,1,Wide product selection,Reducing packaging waste
,23,Male,Multiple times a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Few times a week,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Rarely,yes,Heavily,yes,3,yes,1,1,Competitive prices,Customer service responsiveness
,24,Female,Less than once a month,['others'],sometimes,Multiple times a day,Keyword,Multiple pages,1,yes,Rarely,Found a better price elsewhere,Rarely,yes,Heavily,yes,3,sometimes,3,1,Wide product selection,Product quality and accuracy
,24,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Multiple times a day,Keyword,First page,4,yes,Always,Changed my mind or no longer need the item,Often,no,Occasionally,sometimes,2,yes,2,1,Wide product selection,Shipping speed and reliability
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Home and Kitchen']",sometimes,Rarely,categories,Multiple pages,1,maybe,Often,Found a better price elsewhere,Rarely,no,Moderately,yes,2,sometimes,2,2,Wide product selection,Reducing packaging waste
,29,Male,Once a month,['Clothing and Fashion'],sometimes,Few times a week,categories,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Often,no,Moderately,yes,2,yes,2,2,Competitive prices,Customer service responsiveness
,19,Female,Few times a month,['Clothing and Fashion'],yes,Few times a week,Keyword,Multiple pages,5,yes,Always,Found a better price elsewhere,Rarely,yes,Rarely,yes,3,yes,3,5,Competitive prices,Shipping speed and reliability
,26,Female,Less than once a month,['others'],yes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,High shipping costs,Sometimes,yes,Moderately,yes,1,yes,2,2,Competitive prices,Product quality and accuracy
,32,Male,Less than once a month,['others'],no,Rarely,Keyword,First page,1,no,Always,Changed my mind or no longer need the item,Never,no,Moderately,yes,1,no,4,1,Customer service ,Nothing
,30,Female,Once a month,['Home and Kitchen'],no,Few times a month,Filter,Multiple pages,2,yes,Sometimes,Found a better price elsewhere,Often,yes,Moderately,yes,1,no,4,1,User-friendly website/app interface,Reducing packaging waste
,22,Female,Less than once a month,"['Beauty and Personal Care', 'others']",no,Few times a month,others,Multiple pages,1,yes,Rarely,Found a better price elsewhere,Often,no,Moderately,sometimes,5,yes,3,2,User-friendly website/app interface,Product quality and accuracy
,26,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Multiple times a day,categories,Multiple pages,1,yes,Sometimes,High shipping costs,Never,yes,Moderately,no,2,yes,2,2,User-friendly website/app interface,Shipping speed and reliability
,24,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a week,Keyword,Multiple pages,1,yes,Always,High shipping costs,Always,yes,Heavily,yes,1,yes,1,1,Wide product selection,Customer service responsiveness
,23,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Few times a month,Keyword,Multiple pages,5,yes,Sometimes,High shipping costs,Always,no,Heavily,yes,4,yes,4,4,Wide product selection,Product quality and accuracy
,24,Female,Less than once a month,['Clothing and Fashion'],sometimes,Few times a month,Filter,Multiple pages,3,maybe,Rarely,Changed my mind or no longer need the item,Sometimes,no,Occasionally,sometimes,3,sometimes,3,3,Product recommendations,Product quality and accuracy
,23,Female,Few times a month,['others'],no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Always,no,Heavily,yes,4,sometimes,3,3,Wide product selection,Product quality and accuracy
,24,Male,Few times a month,['Clothing and Fashion'],no,Few times a month,Keyword,Multiple pages,1,yes,Always,Changed my mind or no longer need the item,Often,no,Heavily,yes,1,yes,1,2,User-friendly website/app interface,Product quality and accuracy
,23,Female,Once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a month,Keyword,Multiple pages,1,yes,Rarely,Changed my mind or no longer need the item,Never,no,Heavily,yes,5,no,4,3,Competitive prices,Customer service responsiveness
,25,Male,Less than once a month,['others'],sometimes,Few times a week,Keyword,First page,4,yes,Often,Changed my mind or no longer need the item,Often,yes,Heavily,yes,3,sometimes,3,3,Wide product selection,Product quality and accuracy
,24,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Few times a month,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Rarely,no,Heavily,yes,1,yes,2,2,User-friendly website/app interface,Shipping speed and reliability
,21,Female,Few times a month,['Home and Kitchen'],no,Few times a month,Keyword,First page,1,yes,Rarely,Changed my mind or no longer need the item,Often,yes,Heavily,yes,1,sometimes,3,1,User-friendly website/app interface,Reducing packaging waste
,23,Female,Less than once a month,['Clothing and Fashion'],no,Few times a month,Keyword,Multiple pages,1,maybe,Rarely,Changed my mind or no longer need the item,Never,no,Moderately,yes,3,sometimes,3,3,Wide product selection,Reducing packaging waste
